372,	12,	1,	0
696,	12,	61,	0
1472,	13,	5,	0
2247,	3,	61,	0
2284,	16,	7,	0
2295,	3,	61,	0
2296,	3,	61,	0
2452,	3,	61,	0
2968,	14,	125,	0
3294,	8,	5,	0
3316,	4,	25,	0
3338,	12,	9,	0
3355,	7,	5,	0
3355,	7,	5,	0
3355,	7,	5,	0
5088,	16,	23,	0
5320,	12,	1,	0
5439,	16,	74,	0
5440,	16,	74,	0
5723,	12,	1,	0
5991,	12,	1,	0
6697,	12,	6,	0
7333,	13,	5,	0
7717,	13,	5,	0
7872,	3,	84,	0
8791,	12,	7,	0
8851,	12,	1,	0
8891,	14,	7,	0
9566,	3,	224,	0
9803,	15,	373,	0
9842,	12,	1,	0
9992,	12,	7,	0
9996,	12,	48,	0
162,	12,	15,	1
511,	16,	1,	1
777,	16,	1,	1
1267,	16,	1,	1
1303,	12,	212,	1
1324,	17,	0,	1
1324,	17,	0,	1
2411,	5,	25,	1
2799,	3,	334,	1
3292,	4,	5,	1
3292,	4,	5,	1
3292,	4,	5,	1
3292,	6,	5,	1
3292,	6,	5,	1
3292,	6,	5,	1
3975,	12,	212,	1
4814,	16,	2,	1
4990,	17,	1,	1
4990,	12,	1,	1
5431,	12,	1,	1
6697,	12,	1,	1
7272,	16,	1,	1
7333,	12,	207,	1
7352,	12,	0,	1
7352,	12,	0,	1
7352,	12,	0,	1
7352,	12,	0,	1
7352,	12,	0,	1
7474,	11,	1,	1
7533,	2,	18,	1
7533,	5,	18,	1
7533,	5,	18,	1
7749,	10,	1,	1
7926,	2,	18,	1
7926,	5,	18,	1
7926,	5,	18,	1
8505,	16,	153,	1
8513,	16,	153,	1
8515,	16,	141,	1
9789,	12,	1,	1
9871,	12,	1,	1
9979,	1,	249,	1
9981,	12,	4,	1
9992,	12,	1,	1
9996,	12,	1,	1
