1,	579,	1,	0
2,	634,	4,	0
3,	199,	1,	0
4,	199,	1,	0
5,	199,	1,	0
6,	669,	54,	0
7,	1811,	3,	0
8,	152,	29,	0
9,	1494,	7,	0
10,	1494,	7,	0
11,	199,	1,	0
12,	152,	29,	0
13,	152,	29,	0
14,	548,	8,	0
15,	154,	2,	0
16,	548,	8,	0
17,	518,	14,	0
18,	1008,	3,	0
19,	1308,	161,	0
20,	1494,	7,	0
21,	152,	29,	0
22,	862,	32,	0
23,	574,	3,	0
24,	207,	9,	0
25,	152,	29,	0
26,	324,	3,	0
27,	796,	4,	0
28,	1138,	4,	0
29,	199,	1,	0
30,	410,	3,	0
31,	152,	29,	0
32,	696,	3,	0
33,	1008,	3,	0
34,	199,	1,	0
35,	862,	32,	0
36,	1494,	7,	0
37,	1356,	101,	0
38,	1494,	7,	0
39,	152,	29,	0
40,	440,	19,	0
41,	199,	1,	0
42,	1008,	3,	0
43,	1326,	116,	0
44,	199,	1,	0
45,	199,	1,	0
46,	152,	29,	0
47,	1008,	3,	0
48,	1494,	7,	0
49,	1298,	3,	0
50,	1313,	41,	0
51,	285,	21,	0
52,	199,	1,	0
53,	1494,	7,	0
54,	239,	56,	0
55,	1093,	172,	0
56,	567,	0,	0
57,	1008,	3,	0
58,	637,	24,	0
59,	152,	29,	0
60,	217,	5,	0
61,	1494,	7,	0
62,	152,	29,	0
63,	199,	1,	0
64,	1026,	3,	0
65,	152,	29,	0
66,	1224,	15,	0
67,	795,	4,	0
68,	152,	29,	0
69,	1494,	7,	0
70,	574,	3,	0
71,	199,	1,	0
72,	265,	109,	0
73,	1358,	101,	0
74,	410,	9,	0
75,	1008,	3,	0
76,	324,	3,	0
77,	574,	3,	0
78,	1494,	7,	0
79,	518,	14,	0
80,	152,	29,	0
81,	1420,	24,	0
82,	1494,	7,	0
83,	199,	1,	0
84,	795,	4,	0
85,	1703,	0,	0
86,	1008,	3,	0
87,	548,	8,	0
88,	1811,	3,	0
89,	1358,	101,	0
90,	152,	29,	0
91,	152,	29,	0
92,	152,	29,	0
93,	152,	29,	0
94,	199,	1,	0
95,	1494,	7,	0
96,	152,	29,	0
97,	1312,	89,	0
98,	199,	1,	0
99,	574,	3,	0
100,	154,	2,	0
101,	1494,	7,	0
102,	1494,	7,	0
